STAID,BFI5,DFI90,fdc_b,fdc_b_l,fdc_b_u,peak_event,low_event,max_flow,min_flow,annual_temp,meanPET,meanP,rc,aridity,DRAIN_SQKM,LAT,LON,snow_frac,drain_mm2,max_pptseason,min_pptseason,fall_cv,spring_cv,summer_cv,winter_cv,annual_cv,ELEV_MEAN_M_BASIN,SLOPE_PCT
01396582,0.478011615709684,0.148392678923386,2.45929229600937,6.22812778463346,11.8888601183893,summer,fall,spring,summer,10.1331003348033,689.587059391814,1292.24939593474,0.476319987451049,0.533633106396622,32.1,40.691389,-74.936944,0.134151192017349,32100000000000,fall,winter,2.4667012008475,1.25086814017488,2.13438721777921,1.31650650220975,1.67847135249378,232.0,6.5
01396660,0.51969316258223,0.17429732603688,2.17174636953513,6.0872493671716,12.286955525246,fall,summer,spring,summer,10.6115893326993,711.543024823587,1276.7418556571,0.459636456792892,0.557311583129213,30.4,40.6475,-74.968889,0.125061885888807,30400000000000,fall,winter,2.51890301613312,1.26260063961307,1.98357176653731,1.32012698875575,1.66944116821097,178.6,7.0
01398000,0.251604362101812,0.0253433907171069,3.64468168499872,20.2124705090968,16.5127627840965,fall,summer,winter,summer,11.2762136544217,742.586975475975,1258.904266119,0.461406446564923,0.589867709135065,66,40.473333,-74.827778,0.101803118348033,66000000000000,spring,winter,5.34994564308962,2.00994182458257,3.9811254737604,2.38157587599249,3.08734974160919,82.1,3.3
01399500,0.63409705022459,0.186601284053626,2.05117224294258,7.1967184644781,9.41166302899828,fall,summer,spring,fall,9.68863674298114,671.999987226474,1311.31031987985,0.472118293899627,0.512464499850841,83.5,40.7275,-74.730278,0.143175434745052,83500000000000,spring,winter,1.30682521273463,0.747286237195687,1.0636102365651,0.713056897041076,0.949413390786024,233.7,5.8
01410150,0.835008982543265,0.556672538114616,1.09090890257368,2.77663858143683,10.658201322433,summer,fall,spring,fall,12.4080533396451,784.413804297548,1175.22086194754,0.355656607641775,0.667460755417191,35.3,39.623056,-74.441389,0.0605744930569506,35300000000000,fall,fall,0.521640658296624,0.457325552299189,0.840461527629653,0.45681769896524,0.587484145530627,15.1,0.7
01411300,0.716166403810044,0.296240074554742,1.68656647241753,4.99796863977463,9.64595110544054,summer,summer,spring,fall,12.5356979872241,789.029937881569,1173.01579350233,0.385479430978688,0.672650736888822,79.3,39.306944,-74.820556,0.0514565835829453,79300000000000,fall,fall,0.782324687779615,0.72499937561909,1.1244610992791,0.629180957564576,0.867823897876063,16.2,0.3
01414500,0.478004703165439,0.108045101939387,2.6584330940088,7.58546624812232,11.2463324545164,winter,summer,spring,summer,5.7965633136697,533.873974093924,1258.27644188305,0.640519321435665,0.424289890777073,64.5,42.106199,-74.730435,0.261761081473919,64500000000000,fall,winter,1.71389688804872,1.09274424618434,1.85180568916948,1.3415906875635,1.45755266749109,715.4,22.6
01435000,0.502656140496097,0.167740433145263,2.14045135884845,6.03761051494409,11.4005291846998,summer,summer,spring,summer,5.97525701946328,538.554761925426,1526.83609822591,0.696872166635786,0.352725981885805,172.5,41.890092,-74.589879,0.284079480962096,172500000000000,summer,winter,1.71704470461174,1.18137909557119,1.74296925843955,1.45865666943445,1.50552828663951,769.1,19.8
01447680,0.598071430700477,0.217918100064998,1.93011195657998,8.61092192418137,9.36817008825498,summer,summer,spring,summer,8.04088110289552,612.537186869465,1426.10475924611,0.577080179232106,0.429517665443648,51.7,41.065365,-75.520187,0.224268017923912,51700000000000,fall,winter,1.24734780298291,0.905927105018393,1.24417275365481,0.917107972025224,1.07496695615535,571.8,1.7
01450500,0.55601676330946,0.204580030854622,2.10042942305032,5.18705456834897,10.3549508558556,fall,summer,spring,summer,9.85143787271956,683.015596212301,1297.84169515371,0.547995978662714,0.526270344652017,198.1,40.806205,-75.597964,0.153926206666996,198100000000000,summer,winter,1.61873558146607,1.04909922159756,1.47620253378606,1.10985662515285,1.29299970815002,263.5,12.6
01451500,0.738374582407149,0.421095179158748,1.3388871281183,2.81964082413756,11.694546299613,summer,fall,spring,fall,10.9307239543051,728.976124463815,1237.99760188546,0.39577384361766,0.588834843745732,212.1,40.58232,-75.482961,0.113492054302953,212100000000000,summer,winter,1.71832960946966,0.833462777005692,1.49684687522731,0.91093866625991,1.21722670939034,161.2,4.8
01451650,0.720864518668057,0.402990363325925,1.35497214740173,4.20085782119669,11.1014637152436,fall,summer,spring,fall,10.9409251615994,729.532779827249,1237.38745743328,0.409436692186289,0.589575056256448,253.9,40.596486,-75.474072,0.113543150225559,253900000000000,summer,winter,1.60100479247295,0.69332566311303,1.26872817346094,0.797659423400682,1.08312027498877,154.8,4.6
01451800,0.397274101619246,0.0878044261811526,2.81210873782719,12.4622947916161,10.9226506081823,summer,summer,spring,summer,10.2764419928436,699.852758854354,1278.02685978492,0.51351747959808,0.547604108236139,135.8,40.661762,-75.626854,0.138045930163427,135800000000000,summer,winter,2.02916997099323,1.28864267489185,2.04612804287552,1.26989805700134,1.58746016231857,204.3,7.6
